title,author,rank,description,publisher,amazon_product_url
THE MATCHMAKER,Elin Hilderbrand,12,A Nantucket resident’s life is shaken by a diagnosis and the return to the island of her high school sweetheart. ,"Little, Brown",http://www.amazon.com/The-Matchmaker-Novel-Elin-Hilderbrand-ebook/dp/B00FPQA7HK?tag=NYTBS-20
MIDNIGHT IN EUROPE,Alan Furst,13,A Spanish lawyer working in Paris on the eve of World War II joins a mission to help the Republican troops.,Random House,http://www.amazon.com/Midnight-Europe-Novel-Alan-Furst/dp/1400069491?tag=NYTBS-20
THE ONE AND ONLY,Emily Giffin,14,"A woman who has grown up and made her life in a small, football-obsessed Texas town begins to expand her horizons. ",Ballantine,http://www.amazon.com/The-One-Only-A-Novel-ebook/dp/B00F1W0DF4?tag=NYTBS-20
THE INVENTION OF WINGS,Sue Monk Kidd,15,"The relationship between a wealthy Charleston girl, Sarah Grimké, who will grow up to become a prominent abolitionist, and the slave she is given for her 11th birthday. ",Viking,http://www.amazon.com/The-Invention-Wings-A-Novel/dp/0670024783?tag=NYTBS-20
THE TARGET,David Baldacci,16,"As the government hit man Will Robie and his partner, Jessica Reel, prepare for a mission, they're stalked by a new adversary.",Grand Central,http://www.amazon.com/Target-Will-Robie-David-Baldacci-ebook/dp/B00EHMFC78?tag=NYTBS-20
THE HUSBAND'S SECRET,Liane Moriarty,17,A successful businesswoman and devoted wife and mother finds a letter that throws everything she's believed into doubt.,Amy Einhorn/Putnam,http://www.amazon.com/The-Husbands-Secret-Liane-Moriarty-ebook/dp/B00D7Z4GQY?tag=NYTBS-20
SKIN GAME,Jim Butcher,18,The Chicago wizard Harry Dresden is forced to help an enemy break into a high-security vault; the 15th Dresden Files novel.,Roc,http://www.amazon.com/Skin-Game-Dresden-Files-Butcher/dp/0451464397?tag=NYTBS-20
CHINA DOLLS,Lisa See,19,Three Asian-American women meet in San Francisco in 1938 at the Forbidden City nightclub.,Random House,http://www.amazon.com/China-Dolls-Novel-Lisa-See/dp/081299289X?tag=NYTBS-20
UNLUCKY 13,James Patterson and Maxine Paetro,20,"The Women's Murder Club faces its next case, a homicidal intern bent on revenge.","Little, Brown",http://www.amazon.com/Unlucky-13-Womens-Murder-Club/dp/031621129X?tag=NYTBS-20
INVISIBLE,James Patterson and David Ellis,1,A former F.B.I. researcher finds a link between scores of apparently unconnected unsolved cases.  ,"Little, Brown",http://www.amazon.com/Invisible-James-Patterson-ebook/dp/B00FPQA7O8?tag=NYTBS-20
THE SILKWORM,Robert Galbraith,2,"The private detective Cormoran Strike in literary London; by J. K. Rowling, writing pseudonymously.","Mulholland/Little, Brown",http://www.amazon.com/The-Silkworm-Cormoran-Strike-Novel-ebook/dp/B00IJJUIOM?tag=NYTBS-20
TOP SECRET TWENTY-ONE,Janet Evanovich,3,The New Jersey bounty hunter Stephanie Plum pursues a dealer who sells more than used cars.,Bantam,http://www.amazon.com/Top-Secret-Twenty-One-Stephanie-Novel-ebook/dp/B00H1294XO?tag=NYTBS-20
MR. MERCEDES,Stephen King,4,"A driver plows into a crowd, killing eight. The killer then taunts a suicidal ex-cop, who must stop another, deadlier attack.",Scribner,http://www.amazon.com/Mr-Mercedes-Novel-Stephen-King-ebook/dp/B00GEEB52S?tag=NYTBS-20
THE CITY,Dean Koontz,5,"A musician, part of a famous family, looks back over the events of his life, beginning during his childhood in the 1960s.",Bantam,http://www.amazon.com/The-City-Novel-Dean-Koontz-ebook/dp/B00GQAETIC?tag=NYTBS-20
THE GOLDFINCH,Donna Tartt,6," A painting smuggled out of the Metropolitan Museum of Art after a bombing becomes a boy’s prize, guilt and burden.","Little, Brown",http://www.amazon.com/The-Goldfinch-Novel-Pulitzer-Fiction-ebook/dp/B00BAXFECK?tag=NYTBS-20
WRITTEN IN MY OWN HEART'S BLOOD,Diana Gabaldon,7,Jamie Fraser and his family face challenges in the 18th and 20th centuries.,Delacorte,http://www.amazon.com/Written-Own-Hearts-Blood-Outlander-ebook/dp/B00C8S9W0G?tag=NYTBS-20
ALL FALL DOWN,Jennifer Weiner,8,A woman becomes addicted to pain medication.,Atria,http://www.amazon.com/All-Fall-Down-A-Novel-ebook/dp/B00DPM909W?tag=NYTBS-20
ALL THE LIGHT WE CANNOT SEE,Anthony Doerr,9,The lives of a blind French girl and a gadget-obsessed German boy before and during World War II. ,Scribner,http://www.amazon.com/All-Light-We-Cannot-See/dp/1476746583?tag=NYTBS-20
THE VACATIONERS,Emma Straub,10,"An Upper West Side couple, their children and their friends confront life’s changes during two weeks in Mallorca.",Riverhead,http://www.amazon.com/The-Vacationers-Novel-Emma-Straub/dp/1594631573?tag=NYTBS-20
ONE PLUS ONE,Jojo Moyes,11,An obnoxious tech millionaire comes to the rescue of a single mom and her kids heading for a math contest that could change their lives.,Pamela Dorman/Viking,http://www.amazon.com/One-Plus-A-Novel-ebook/dp/B00G3L7VPC?tag=NYTBS-20
WILLIAM SHAKESPEARE'S THE JEDI DOTH RETURN,Ian Doescher,12,"Jabba the Hutt, Ewoks and the redemption of Anakin Skywalker, all in iambic pentameter.",Quirk Books,http://www.amazon.com/William-Shakespeares-Jedi-Doth-Return/dp/159474713X?tag=NYTBS-20
THE HURRICANE SISTERS,Dorothea Benton Frank,13,Three generations of women endure a stormy summer in South Carolina's Lowcountry.,Morrow/HarperCollins,http://www.amazon.com/The-Hurricane-Sisters-A-Novel/dp/0062132520?tag=NYTBS-20
THE MATCHMAKER,Elin Hilderbrand,14,A Nantucket resident’s life is shaken by a diagnosis and the return to the island of her high school sweetheart. ,"Little, Brown",http://www.amazon.com/The-Matchmaker-Novel-Elin-Hilderbrand-ebook/dp/B00FPQA7HK?tag=NYTBS-20
THE INVENTION OF WINGS,Sue Monk Kidd,15,"A wealthy Charleston girl, Sarah Grimké, who will grow up to be an abolitionist, is given a slave for her 11th birthday. ",Viking,http://www.amazon.com/The-Invention-Wings-A-Novel/dp/0670024783?tag=NYTBS-20
THE CARE AND MANAGEMENT OF LIES,Jacqueline Winspear,16,A young wife runs the family farm during her husband’s absence during World War I.,Harper,http://www.amazon.com/The-Care-Management-Lies-Novel/dp/0062220500?tag=NYTBS-20
BORN OF FURY,Sherrilyn Kenyon,17,The League assassin Sumi Antaxas faces a far better-skilled target than any she’s faced before; a League novel.,St. Martin's,http://www.amazon.com/Born-Fury-League-Novel-Book-ebook/dp/B00HFTZX4W?tag=NYTBS-20
THE ONE AND ONLY,Emily Giffin,18,"A woman who has grown up and made her life in a small, football-obsessed Texas town begins to expand her horizons.",Ballantine,http://www.amazon.com/The-One-Only-A-Novel-ebook/dp/B00F1W0DF4?tag=NYTBS-20
MIDNIGHT IN EUROPE,Alan Furst,19,A Spanish lawyer working in Paris on the eve of World War II joins a mission to help the Republican troops.,Random House,http://www.amazon.com/Midnight-Europe-Novel-Alan-Furst/dp/1400069491?tag=NYTBS-20
THE HUSBAND'S SECRET,Liane Moriarty,20,A successful businesswoman and devoted wife and mother finds a letter that throws everything she's believed into doubt.,Amy Einhorn/Putnam,http://www.amazon.com/The-Husbands-Secret-Liane-Moriarty-ebook/dp/B00D7Z4GQY?tag=NYTBS-20
ACT OF WAR,Brad Thor,1,The counterterrorism operative Scot Harvath undertakes two dangerous missions as America faces an imminent attack.,Emily Bestler/Atria,http://www.amazon.com/Act-War-Thriller-Brad-Thor/dp/1476717125?tag=NYTBS-20
POWER PLAY,Catherine Coulter,2,The F.B.I. agents Dillon Savich and Lacey Sherlock are out to discover who is trying to kill the ambassador to Britain.,Putnam,http://www.amazon.com/Power-Play-FBI-Thriller-Book-ebook/dp/B00G3L0ZVY?tag=NYTBS-20
CALIFORNIA,Edan Lepucki,3,"In an apocalyptic future, a couple seek a stable community as they prepare for the birth of their baby.","Little, Brown",http://www.amazon.com/California-A-Novel-Edan-Lepucki/dp/0316250813?tag=NYTBS-20
INVISIBLE,James Patterson and David Ellis,4,A former F.B.I. researcher finds a link between scores of apparently unconnected unsolved cases.  ,"Little, Brown",http://www.amazon.com/Invisible-James-Patterson-ebook/dp/B00FPQA7O8?tag=NYTBS-20
THE SILKWORM,Robert Galbraith,5,"The private detective Cormoran Strike in literary London; by J. K. Rowling, writing pseudonymously.","Mulholland/Little, Brown",http://www.amazon.com/The-Silkworm-Cormoran-Strike-Novel-ebook/dp/B00IJJUIOM?tag=NYTBS-20
TOP SECRET TWENTY-ONE,Janet Evanovich,6,The New Jersey bounty hunter Stephanie Plum pursues a dealer who sells more than used cars.,Bantam,http://www.amazon.com/Top-Secret-Twenty-One-Stephanie-Novel-ebook/dp/B00H1294XO?tag=NYTBS-20
THE GOLDFINCH,Donna Tartt,7," A painting smuggled out of the Metropolitan Museum of Art after a bombing becomes a boy’s prize, guilt and burden.","Little, Brown",http://www.amazon.com/The-Goldfinch-Novel-Pulitzer-Fiction-ebook/dp/B00BAXFECK?tag=NYTBS-20
MR. MERCEDES,Stephen King,8,"A driver plows into a crowd, killing eight. The killer then taunts a suicidal ex-cop, who must stop another, deadlier attack.",Scribner,http://www.amazon.com/Mr-Mercedes-Novel-Stephen-King-ebook/dp/B00GEEB52S?tag=NYTBS-20
WRITTEN IN MY OWN HEART'S BLOOD,Diana Gabaldon,9,Jamie Fraser and his family face challenges in the 18th and 20th centuries.,Delacorte,http://www.amazon.com/Written-Own-Hearts-Blood-Outlander-ebook/dp/B00C8S9W0G?tag=NYTBS-20
LANDLINE,Rainbow Rowell,10,A woman in a troubled marriage finds a way to communicate with her husband in the past. ,St. Martin's,http://www.amazon.com/Landline-Rainbow-Rowell/dp/1250049377?tag=NYTBS-20
ALL FALL DOWN,Jennifer Weiner,11,A woman becomes addicted to pain medication.,Atria,http://www.amazon.com/All-Fall-Down-A-Novel-ebook/dp/B00DPM909W?tag=NYTBS-20
ALL THE LIGHT WE CANNOT SEE,Anthony Doerr,12,The lives of a blind French girl and a gadget-obsessed German boy before and during World War II. ,Scribner,http://www.amazon.com/All-Light-We-Cannot-See/dp/1476746583?tag=NYTBS-20
THE GIRLS OF AUGUST,Anne Rivers Siddons,13,Four friends who vacation together are shaken by surprising discoveries. ,Grand Central,http://www.amazon.com/Girls-August-Anne-Rivers-Siddons-ebook/dp/B00A2C6EWO?tag=NYTBS-20
THE VACATIONERS,Emma Straub,14,"An Upper West Side couple, their children and their friends confront life’s changes during two weeks in Mallorca.",Riverhead,http://www.amazon.com/The-Vacationers-Novel-Emma-Straub/dp/1594631573?tag=NYTBS-20
ONE PLUS ONE,Jojo Moyes,15,An obnoxious tech millionaire comes to the rescue of a single mom and her kids heading for a math contest that could change their lives.,Pamela Dorman/Viking,http://www.amazon.com/One-Plus-A-Novel-ebook/dp/B00G3L7VPC?tag=NYTBS-20
THE HIGH DRUID'S BLADE,Terry Brooks,16,"A stand-alone Shannara novel, the first in a new trilogy, Defenders of Shannara. ",Del Rey,http://www.amazon.com/The-High-Druids-Blade-Defenders/dp/0345540700?tag=NYTBS-20
THE CITY,Dean Koontz,17,"A musician, part of a remarkable family, looks back over the events of his life, beginning during his childhood in the 1960s.",Bantam,http://www.amazon.com/The-City-Novel-Dean-Koontz-ebook/dp/B00GQAETIC?tag=NYTBS-20
THE INVENTION OF WINGS,Sue Monk Kidd,18,"The bond between a wealthy Charleston girl, who grows up to become an abolitionist, and the slave she is given for her 11th birthday.",Viking,http://www.amazon.com/The-Invention-Wings-A-Novel/dp/0670024783?tag=NYTBS-20
"CLOSE YOUR EYES, HOLD HANDS",Chris Bohjalian,19,,Doubleday,http://www.amazon.com/Close-Your-Eyes-Hold-Hands/dp/0385534833?tag=NYTBS-20
THE DEAD WILL TELL,Linda Castillo,20,,Minotaur,http://www.amazon.com/The-Dead-Will-Tell-Burkholder-ebook/dp/B00HP1I7F2?tag=NYTBS-20
THE BOOK OF LIFE,Deborah Harkness,1,"In the conclusion to the All Souls trilogy, the Oxford scholar/witch Diana Bishop and the vampire geneticist Matthew Clairmont return from Elizabethan London to the present.",Viking,http://www.amazon.com/The-Book-Life-Novel-Trilogy/dp/0670025593?tag=NYTBS-20
THE HEIST,Daniel Silva,2,"Gabriel Allon, an art restorer and occasional spy for the Israeli secret service, must track down a famous missing painting by Caravaggio.",Harper,http://www.amazon.com/The-Heist-Novel-Gabriel-Allon/dp/006232005X?tag=NYTBS-20
ACT OF WAR,Brad Thor,3,The counterterrorism operative Scot Harvath undertakes two dangerous missions as America faces an imminent attack.,Emily Bestler/Atria,http://www.amazon.com/Act-War-Thriller-Brad-Thor/dp/1476717125?tag=NYTBS-20
CUT AND THRUST,Stuart Woods,4,Complications abound as the New York lawyer Stone Barrington attends a political convention in Los Angeles.,Putnam,http://www.amazon.com/Thrust-Stone-Barrington-Novels-Book-ebook/dp/B00G3L6MVG?tag=NYTBS-20
INVISIBLE,James Patterson and David Ellis,5,A former F.B.I. researcher finds a link between scores of apparently unconnected unsolved cases.  ,"Little, Brown",http://www.amazon.com/Invisible-James-Patterson-ebook/dp/B00FPQA7O8?tag=NYTBS-20
THE GOLDFINCH,Donna Tartt,6," A painting smuggled out of the Metropolitan Museum of Art after a bombing becomes a boy’s prize, guilt and burden.","Little, Brown",http://www.amazon.com/The-Goldfinch-Novel-Pulitzer-Fiction-ebook/dp/B00BAXFECK?tag=NYTBS-20
THE SILKWORM,Robert Galbraith,7,"The private detective Cormoran Strike in literary London; by J. K. Rowling, writing pseudonymously.","Mulholland/Little, Brown",http://www.amazon.com/The-Silkworm-Cormoran-Strike-Novel-ebook/dp/B00IJJUIOM?tag=NYTBS-20
TOP SECRET TWENTY-ONE,Janet Evanovich,8,The New Jersey bounty hunter Stephanie Plum pursues a dealer who sells more than used cars.,Bantam,http://www.amazon.com/Top-Secret-Twenty-One-Stephanie-Novel-ebook/dp/B00H1294XO?tag=NYTBS-20
WAYFARING STRANGER,James Lee Burke,9,"A man’s life is traced over decades, starting with his encounter, at age 16, with Bonnie and Clyde.",Simon & Schuster,http://www.amazon.com/Wayfaring-Stranger-James-Lee-Burke-ebook/dp/B00HB62NII?tag=NYTBS-20
MR. MERCEDES,Stephen King,10,"A driver plows into a crowd, killing eight. The killer then taunts a suicidal ex-cop, who must stop another, deadlier attack.",Scribner,http://www.amazon.com/Mr-Mercedes-Novel-Stephen-King-ebook/dp/B00GEEB52S?tag=NYTBS-20
POWER PLAY,Catherine Coulter,11,The F.B.I. agents Dillon Savich and Lacey Sherlock are out to discover who is trying to kill the ambassador to Britain.,Putnam,http://www.amazon.com/Power-Play-FBI-Thriller-Book-ebook/dp/B00G3L0ZVY?tag=NYTBS-20
SHOTS FIRED,C J Box,12,"The stories in this first collection, four of them featuring Box’s character Joe Pickett, are set in Wyoming. ",Putnam,http://www.amazon.com/Shots-Fired-Stories-Pickett-Country-ebook/dp/B00GSBM4VI?tag=NYTBS-20
WRITTEN IN MY OWN HEART'S BLOOD,Diana Gabaldon,13,Jamie Fraser and his family face challenges in the 18th and 20th centuries.,Delacorte,http://www.amazon.com/Written-Own-Hearts-Blood-Outlander-ebook/dp/B00C8S9W0G?tag=NYTBS-20
ALL THE LIGHT WE CANNOT SEE,Anthony Doerr,14,The lives of a blind French girl and a gadget-obsessed German boy before and during World War II. ,Scribner,http://www.amazon.com/All-Light-We-Cannot-See/dp/1476746583?tag=NYTBS-20
ALL FALL DOWN,Jennifer Weiner,15,A woman becomes addicted to pain medication.,Atria,http://www.amazon.com/All-Fall-Down-A-Novel-ebook/dp/B00DPM909W?tag=NYTBS-20
THE INVENTION OF WINGS,Sue Monk Kidd,16,"A wealthy Charleston girl, Sarah Grimké, who will grow up to be an abolitionist, is given a slave for her 11th birthday. ",Viking,http://www.amazon.com/The-Invention-Wings-A-Novel/dp/0670024783?tag=NYTBS-20
THE VACATIONERS,Emma Straub,17,"Well-heeled New Yorkers and their friends spend two weeks in Majorca, a time when rivalries and secrets come to light.",Riverhead,http://www.amazon.com/The-Vacationers-Novel-Emma-Straub/dp/1594631573?tag=NYTBS-20
ONE PLUS ONE,Jojo Moyes,18,An obnoxious tech millionaire comes to the rescue of a single mom and her kids heading for a math contest.,Pamela Dorman/Viking,http://www.amazon.com/One-Plus-A-Novel-ebook/dp/B00G3L7VPC?tag=NYTBS-20
SIGHT UNSEEN,Iris Johansen and Roy Johansen,19,The investigator Kendra Michaels employs her highly developed senses to deal with an admirer who is also her most ruthless enemy.,St. Martin's,http://www.amazon.com/Sight-Unseen-Iris-Johansen-ebook/dp/B00HP1LVJG?tag=NYTBS-20
THE CITY,Dean Koontz,20,"A musician, part of a remarkable family, looks back over the events of his life, beginning during his childhood in the 1960s.",Bantam,http://www.amazon.com/The-City-Novel-Dean-Koontz-ebook/dp/B00GQAETIC?tag=NYTBS-20
THE HEIST,Daniel Silva,1,"Gabriel Allon, an art restorer and occasional spy for the Israeli secret service, must track down a famous missing painting by Caravaggio.",Harper,http://www.amazon.com/The-Heist-Novel-Gabriel-Allon/dp/006232005X?tag=NYTBS-20
THE BOOK OF LIFE,Deborah Harkness,2,"In the conclusion to the All Souls trilogy, the Oxford scholar/witch Diana Bishop and the vampire geneticist Matthew Clairmont return from Elizabethan London to the present.",Viking,http://www.amazon.com/The-Book-Life-Novel-Trilogy/dp/0670025593?tag=NYTBS-20
TOM CLANCY: SUPPORT AND DEFEND,Mark Greaney,3,"A Dominic Caruso novel, written in the tradition of Clancy, who died in October 2013.",Putnam,http://www.amazon.com/Clancy-Support-Defend-Campus-Novel/dp/039917334X?tag=NYTBS-20
A PERFECT LIFE,Danielle Steel,4,A successful TV anchor faces a young rival at work just as the long-kept secrets of her private life are exposed.,Delacorte,http://www.amazon.com/A-Perfect-Life-Novel-ebook/dp/B00HXYKYDE?tag=NYTBS-20
THE GOLDFINCH,Donna Tartt,5," A painting becomes a boy’s prize, guilt and burden.","Little, Brown",http://www.amazon.com/The-Goldfinch-Novel-Pulitzer-Fiction-ebook/dp/B00BAXFECK?tag=NYTBS-20
ACT OF WAR,Brad Thor,6,The counterterrorism operative Scot Harvath undertakes two dangerous missions as America faces an imminent attack.,Emily Bestler/Atria,http://www.amazon.com/Act-War-Thriller-Brad-Thor/dp/1476717125?tag=NYTBS-20
